Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Dificultad,Zonas_final,Jugador2,Jugador,Zonas,Categoria,Optional Column
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:49:13,00:49:13,0.000,,20,3,9,20,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:49:14,00:49:14,0.000,,Volver,,9,20,Robo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Falta,,00:49:17,00:49:23,6.000,,Volver,,10,16,Hecha,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:50:00,00:50:00,0.000,,Volver,,6,7,Intercepcion,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:50:01,00:50:01,0.000,,7,8,6,7,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:50:04,00:50:04,0.000,,7,3,8,7,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:50:06,00:50:06,0.000,,Volver,,3,7,Robo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:50:25,00:50:25,0.000,,Volver,,6,2,Intercepcion,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:50:27,00:50:27,0.000,,1,11,6,2,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:50:28,00:50:28,0.000,,Volver,,11,1,Robo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Duelo,,00:50:29,00:50:35,6.000,,Volver,,11,1,Gambeta en contra,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:50:37,00:50:37,0.000,,Volver,,8,1,Intercepcion,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:50:39,00:50:39,0.000,,8,10,8,1,medio,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:50:39,00:50:39,0.000,,Volver,,8,1,Interceptado,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pelota parada,,00:51:04,00:51:10,6.000,,7,5,3,7,Lateral corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:51:11,00:51:11,0.000,,Volver,,5,7,Robo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:51:36,00:51:36,0.000,,5,2,1,3,S arquero pie,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:51:39,00:51:39,0.000,,15,7,2,5,largo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:51:40,00:51:40,0.000,,Volver,,2,5,intercepcion aereo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:51:43,00:51:43,0.000,,Volver,,5,11,Encontrada,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:51:44,00:51:44,0.000,,12,4,5,11,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:51:47,00:51:47,0.000,,Volver,,4,12,Duelo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:51:56,00:51:56,0.000,,,,3,8,Intercepcion,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:51:59,00:51:59,0.000,,12,8,3,8,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:52:03,00:52:03,0.000,,8,2,8,12,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:52:04,00:52:04,0.000,,8,5,2,8,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:52:09,00:52:09,0.000,,13,11,5,11,largo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:52:15,00:52:15,0.000,,13,10,11,16,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:52:16,00:52:16,0.000,,13,3,10,13,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:52:18,00:52:18,0.000,,13,8,3,13,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:52:24,00:52:24,0.000,,18,4,8,13,largo,
