Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Dificultad,Jugador2,Zonas_final,Calificacion,Zonas,Jugador,Categoria,Optional Column
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:28:00,01:28:00,0.000,,9,21,,16,15,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,01:28:00,01:28:00,0.000,,,Volver,,16,15,Interceptado,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Falta,,01:29:18,01:29:18,0.000,,,Volver,,18,5,Hecha,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:30:35,01:30:35,0.000,,10,12,,6,5,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:30:38,01:30:38,0.000,,8,8,,12,10,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:30:38,01:30:38,0.000,,8,Volver,,12,10,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:30:42,01:30:42,0.000,,,Volver,,11,8,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:30:42,01:30:42,0.000,,,Volver,,11,15,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:30:42,01:30:42,0.000,,,Volver,,10,8,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:30:42,01:30:42,0.000,,,Volver,,10,15,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:30:50,01:30:50,0.000,,11,17,,16,15,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,01:30:50,01:30:50,0.000,,,Volver,,16,15,Interceptado,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Remate pie,,01:30:57,01:30:57,0.000,,Rival,22,,17,7,Media distancia,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:31:36,01:31:36,0.000,,9,13,,13,15,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:31:38,01:31:38,0.000,,15,16,,16,9,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:31:43,01:31:43,0.000,,9,20,,16,15,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,01:31:45,01:31:45,0.000,,,Volver,,16,15,Robo,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Falta,,01:33:08,01:33:08,0.000,,,Volver,,16,10,Recibida,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Falta,,01:34:20,01:34:20,0.000,,,Volver,,13,15,Hecha,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Tarjeta,,01:34:21,01:34:21,0.000,,,Volver,,13,15,Amarilla,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:35:06,01:35:06,0.000,,5,12,,9,2,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:35:11,01:35:11,0.000,,9,17,,12,5,largo,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:35:14,01:35:14,0.000,,10,17,,17,9,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:35:16,01:35:16,0.000,,9,19,,16,10,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:35:19,01:35:19,0.000,,8,17,,19,9,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:35:20,01:35:20,0.000,,5,17,,17,8,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Remate pie,,01:35:24,01:35:24,0.000,,Rival,22,,17,5,Media distancia,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Falta,,01:36:08,01:36:08,0.000,,,Volver,,13,6,Hecha,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:37:23,01:37:23,0.000,,2,12,,11,5,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:37:27,01:37:27,0.000,,4,18,,12,2,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:37:30,01:37:30,0.000,,11,21,,18,4,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,01:37:31,01:37:31,0.000,,,Volver,,18,4,Interceptado,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Sustitucion,,01:38:29,01:38:29,0.000,,,Volver,,,,,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Falta,,01:38:04,01:38:04,0.000,,,Volver,,15,2,Recibida,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:40:45,01:40:45,0.000,,11,16,,7,6,largo,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:40:52,01:40:52,0.000,,10,19,,19,11,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:42:09,01:42:09,0.000,,9,11,,8,6,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,01:42:13,01:42:13,0.000,,,Volver,,8,6,Robo,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:42:25,01:42:25,0.000,,11,18,,14,5,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:42:28,01:42:28,0.000,,9,21,,18,11,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,01:42:28,01:42:28,0.000,,,Volver,,18,11,Interceptado,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Falta,,01:42:50,01:42:50,0.000,,,Volver,,18,11,Hecha,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:44:45,01:44:45,0.000,,4,15,,14,11,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,01:44:47,01:44:47,0.000,,2,12,,15,4,corto,
