Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas_final,Jugador2,Calificacion,Zonas,Jugador,Categoria,Optional Column
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:31:56,01:31:56,0.000,16,7,,10,3,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:31:58,01:31:58,0.000,16,10,,16,7,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:32:01,01:32:01,0.000,16,11,,16,10,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:32:05,01:32:05,0.000,19,10,,20,11,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:34:07,01:34:07,0.000,11,8,,7,6,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:34:09,01:34:09,0.000,14,7,,11,8,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:34:13,01:34:13,0.000,17,9,,17,7,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,01:34:13,01:34:13,0.000,Volver,,,17,7,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:35:54,01:35:54,0.000,18,4,,15,2,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:35:58,01:35:58,0.000,18,5,,18,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:35:59,01:35:59,0.000,Volver,8,,18,5,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:36:12,01:36:12,0.000,9,4,,9,6,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:36:16,01:36:16,0.000,9,8,,9,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,01:36:16,01:36:16,0.000,Volver,,,9,4,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Sustitucion,,01:36:38,01:36:38,0.000,Volver,20,,,,,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:37:15,01:37:15,0.000,17,20,,17,11,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:37:19,01:37:19,0.000,16,10,,17,20,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:38:06,01:38:06,0.000,18,2,,14,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:38:10,01:38:10,0.000,23,8,,18,2,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:38:14,01:38:14,0.000,24,2,,23,8,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:42:14,01:42:14,0.000,8,2,,7,5,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,01:42:18,01:42:18,0.000,10,3,,8,2,medio,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,01:42:18,01:42:18,0.000,Volver,,,8,2,Balon afuera lateral,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,01:42:28,01:42:28,0.000,Volver,,,7,6,Recibida,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Sustitucion,,01:43:35,01:43:35,0.000,Volver,16,,,,,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,01:44:44,01:44:44,0.000,Volver,,,9,16,Recibida,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,01:46:32,01:46:32,0.000,Volver,,,13,3,Recibida,
