Partido,Situacion,Evento,Subevento,Tiempo_inicial,Tiempo_final,Jugador,Zonas_Inicial,Zonas_Final
Lanus,En contra,Corner,Pelota Parada,00:19:21,00:19:27,Rival,7,Volver
Lanus,En contra,Centro,Pelota Parada,00:19:27,00:19:33,Rival,7,8
Lanus,En contra,Pase corto,Pelota Parada,00:19:32,00:19:38,Rival,8,9
Lanus,En contra,Pase corto,Pelota Parada,00:19:36,00:19:45,Rival,9,8
Lanus,En contra,Remate bloq,Pelota Parada,00:19:42,00:19:48,Rival,8,8
Lanus,En contra,Penal,Pelota Parada,00:19:47,00:19:53,Rival,8,Volver
Lanus,En contra,Penal,Pelota Parada,00:20:56,00:21:02,Rival,8,Volver
Lanus,En contra,Gol,Pelota Parada,00:21:01,00:21:07,Rival,8,Volver
Lanus,En contra,Perdida,Transición,00:27:30,00:27:36,10,6,Volver
Lanus,En contra,Pase corto,Transición,00:27:35,00:27:41,Rival,6,5
Lanus,En contra,Pase largo,Transición,00:27:39,00:27:47,Rival,5,7
Lanus,En contra,Pase corto,Transición,00:27:44,00:27:50,Rival,7,8
Lanus,En contra,Remate atajado,Transición,00:27:48,00:27:54,Rival,8,8
Lanus,A favor,Corner,Pelota Parada,00:33:08,00:33:14,3,7,8
Lanus,A favor,Centro,Pelota Parada,00:33:18,00:33:24,3,7,8
Lanus,A favor,Remate Aereo,Pelota Parada,00:33:19,00:33:25,2,8,8
Lanus,En contra,Pase corto,Ataque combinado,00:33:44,00:33:53,Rival,2,1
Lanus,En contra,Pase largo,Ataque combinado,00:33:50,00:33:56,Rival,4,6
Lanus,En contra,Centro,Ataque combinado,00:33:56,00:34:07,Rival,9,8
Lanus,En contra,Disputa suelo,Ataque combinado,00:34:04,00:34:10,Rival,8,Volver
Lanus,En contra,Remate bloq,Ataque combinado,00:34:11,00:34:17,Rival,8,Volver
Lanus,En contra,Pase largo,Ataque combinado,00:35:45,00:35:51,Rival,5,7
Lanus,En contra,Gambeta,Ataque combinado,00:35:50,00:35:56,Rival,7,8
Lanus,En contra,Centro,Ataque combinado,00:35:54,00:36:00,Rival,8,9
Lanus,En contra,Remate atajado,Ataque combinado,00:36:00,00:36:06,Rival,9,8
Lanus,A favor,Recuperacion,Transición,00:37:42,00:37:48,8,5,Volver
Lanus,A favor,Remate pie,Transición,00:37:49,00:37:55,3,5,8
Lanus,A favor,Gol,Transición,00:37:52,00:37:58,3,8,Volver
Lanus,En contra,Corner,Pelota Parada,00:39:42,00:39:48,Rival,7,Volver
Lanus,En contra,Centro,Pelota Parada,00:39:46,00:39:52,Rival,7,8
Lanus,En contra,Remate Aereo,Pelota Parada,00:39:50,00:39:56,Rival,8,8
Lanus,En contra,Gol,Pelota Parada,00:39:54,00:40:00,Rival,8,Volver
Lanus,A favor,Tiro libre,Pelota Parada,00:41:53,00:41:59,10,9,Volver
Lanus,A favor,Centro,Pelota Parada,00:41:59,00:42:09,10,9,8
Lanus,A favor,Despeje,Pelota Parada,00:42:07,00:42:13,Rival,8,8
Lanus,A favor,Remate pie,Pelota Parada,00:42:10,00:42:16,3,8,8
Lanus,A favor,Gol,Pelota Parada,00:42:15,00:42:21,3,8,Volver
Lanus,A favor,Pase largo,Ataque Directo,00:44:31,00:44:37,6,5,8
Lanus,A favor,Pase corto,Ataque Directo,00:44:35,00:44:47,7,8,7
Lanus,A favor,Remate bloq,Ataque Directo,00:44:46,00:44:52,9,7,8
Tigre,A favor,Pase largo,Ataque Directo,00:26:34,00:26:40,6,4,7
Tigre,A favor,Centro,Ataque Directo,00:26:41,00:26:49,10,7,8
Tigre,A favor,Remate Aereo,Ataque Directo,00:26:47,00:26:53,9,8,8
Tigre,En contra,Recuperacion,Transición,00:27:59,00:28:05,Rival,4,Volver
Tigre,En contra,Disputa suelo,Transición,00:28:11,00:28:17,Rival,5,Volver
Tigre,En contra,Remate bloq,Transición,00:28:14,00:28:20,Rival,8,8
Tigre,En contra,Pase corto,Ataque combinado,00:33:23,00:33:29,Rival,6,5
