Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Calificacion,Optional Column
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Perdida,,00:41:41,00:41:47,6.000,8,Interceptado,Rival,8,11,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pase,,00:42:50,00:42:56,6.000,3,S arquero pie,6,1,2,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pase,,00:42:56,00:43:02,6.000,3,medio,8,6,10,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Perdida,,00:42:56,00:43:02,6.000,8,Duelo,,8,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Recuperacion,,00:43:00,00:43:06,6.000,7,intercepcion anticipo,,3,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Duelo,,00:44:12,00:44:18,6.000,1,Disputa suelo,,3,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pelota parada,,00:45:06,00:45:12,6.000,7,Lateral largo,9,3,10,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Perdida,,00:45:08,00:45:14,6.000,10,Interceptado,11,9,13,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Recuperacion,,00:45:12,00:45:18,6.000,10,Intercepcion,,8,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pase,,00:45:15,00:45:21,6.000,10,corto,11,8,14,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Falta,,00:45:19,00:45:25,6.000,14,Recibida,,7,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pelota parada,,00:45:42,00:45:48,6.000,13,Tiro libre,3,10,10,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Perdida,,00:45:50,00:45:56,6.000,10,Balon afuera fondo,Rival,3,20,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Duelo,,00:46:31,00:46:37,6.000,4,Aereo,,6,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Recuperacion,,00:46:31,00:46:37,6.000,4,Intercepcion aereo,,6,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Recuperacion,,00:46:48,00:46:54,6.000,2,Intercepcion,,6,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pase,,00:46:50,00:46:56,6.000,2,medio,9,6,7,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Falta,,00:46:52,00:46:58,6.000,7,Hecha,,9,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Falta,,00:47:16,00:47:22,6.000,9,Hecha,,2,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Arquero,,00:48:26,00:48:32,6.000,3,Salvada/Atajada,,1,Volver,Bueno,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Falta,,00:49:11,00:49:17,6.000,20,Hecha,,11,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Situacion rival,,00:49:39,00:49:45,6.000,20,Directa,,11,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Arquero,,00:49:54,00:50:00,6.000,3,Salvada/Atajada,,1,Volver,Bueno,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pelota parada,,00:49:54,00:50:00,6.000,3,Penal,Rival,1,4,,
